case_id,message_id,user_id,direction,text,pais_usuario,channel,ts,category,subcategory,sentiment,urgency,confidence,is_fraud,suggested_response,reasoning
CASE-005,MSG-017,USR-441,INBOUND,Me vienen diciendo lo mismo hace una semana. Esto es un robo.,Chile,No especificado,2026-05-06T04:24:05.608519+00:00,RECLAMO_QUEJA,AMENAZA_REGULATORIA,NEGATIVO,CRITICA,0.85,False,,"El usuario expresa frustración extrema por demora en reembolso de una semana, amenaza con acción legal ante la CMF (regulador chileno) y utiliza lenguaje de desconfianza (""robo""), pero no hay evidencia de fraude activo contra su cuenta, sino incumplimiento percibido en la gestión de fondos."
CASE-005,MSG-018,USR-441,INBOUND,Adjunto el pantallazo de mi banco donde sale que ustedes ya tienen el dinero.,Chile,No especificado,2026-05-06T04:24:08.343854+00:00,RECLAMO_QUEJA,AMENAZA_REGULATORIA,NEGATIVO,CRITICA,0.95,False,,"El usuario amenaza escalación regulatoria a la CMF con abogados por demora en reembolso de una semana, presentando evidencia de que Global66 ya recibió los fondos. Es una queja formal con amenaza legal, no un incidente de seguridad activo."
CASE-006,MSG-019,USR-332,INBOUND,"Hola, ¿puedo pedir una tarjeta adicional para mi hijo de 15 años?",Chile,No especificado,2026-05-06T04:24:10.771017+00:00,TARJETA,ENTREGA_TARJETA,NEUTRAL,MEDIA,0.75,False,,"El usuario consulta sobre la posibilidad de solicitar una tarjeta adicional para un menor, lo que se clasifica como consulta sobre entrega/gestión de tarjeta."
CASE-006,MSG-020,AGENT-01,OUTBOUND,"Hola, por ahora solo permitimos una tarjeta por titular de cuenta.",Chile,No especificado,2026-05-06T04:24:13.104477+00:00,,,,,,,,
CASE-006,MSG-021,USR-332,INBOUND,"Qué mal, otras apps sí dejan. ¿Cuándo van a habilitar esa opción?",Chile,No especificado,2026-05-06T04:24:13.110830+00:00,PRODUCTO_INFO,FUNCIONALIDAD_NUEVA,NEGATIVO,BAJA,0.85,False,,"El usuario consulta sobre una funcionalidad no disponible (tarjetas adicionales/dependientes) y expresa insatisfacción comparando con competidores, sin indicios de fraude o seguridad."
CASE-007,MSG-022,USR-556,INBOUND,Mi transferencia a España dice 'Completada' pero no ha llegado.,México,No especificado,2026-05-06T04:24:17.378725+00:00,TRANSFERENCIAS_ENVIOS,DINERO_NO_RECIBIDO,NEGATIVO,ALTA,0.95,False,,"El usuario reporta que una transferencia internacional a España aparece como completada en su cuenta pero los fondos no han llegado al destinatario, indicando un problema operacional en la transferencia."
CASE-007,MSG-023,AGENT-04,OUTBOUND,Revisamos y el IBAN que pusiste parece tener un error de dígito.,México,No especificado,2026-05-06T04:24:19.624542+00:00,,,,,,,,
CASE-007,MSG-024,USR-556,INBOUND,"Ay no, me equivoqué. ¿Se puede cancelar el envío o ya se perdió?",México,No especificado,2026-05-06T04:24:19.628734+00:00,TRANSFERENCIAS_ENVIOS,ERROR_DATOS_DESTINO,NEGATIVO,ALTA,0.95,False,,"El usuario reporta una transferencia internacional con error en el IBAN del destinatario, lo que requiere atención inmediata para intentar recuperar los fondos."
CASE-007,MSG-025,USR-556,INBOUND,Necesito recuperar ese monto para volver a enviarlo correctamente.,México,No especificado,2026-05-06T04:24:21.959358+00:00,TRANSFERENCIAS_ENVIOS,DINERO_NO_RECIBIDO,NEGATIVO,ALTA,0.92,False,,El usuario reporta que una transferencia internacional marcada como completada no ha llegado debido a un error en el IBAN del destinatario; requiere recuperación de fondos urgentemente.
CASE-008,MSG-026,USR-112,INBOUND,Quiero denunciar que alguien me llamó pidiendo mi clave de Global.,Argentina,No especificado,2026-05-06T04:24:24.183038+00:00,SEGURIDAD_FRAUDE,PHISHING_ESTAFA,NEGATIVO,CRITICA,0.95,True,"Agradecemos que nos hayas reportado este intento de estafa de inmediato. **Tu seguridad es nuestra prioridad.**  🚨 **ACCIONES INMEDIATAS:** 1. **NO compartas tu clave o códigos OTP con nadie** - nuestro equipo nunca te los pedirá por llamada 2. **Cambia tu contraseña de Global66 ahora mismo** desde la aplicación o web 3. **Revisa tu cuenta** - verifica transacciones recientes y asegúrate de que todo esté normal 4. **Nuestro equipo de seguridad se contactará contigo en breve** para validar tu identidad y reforzar la protección  ⚠️ **IMPORTANTE:**  - Global66 NUNCA solicita claves, PINs u códigos OTP por teléfono, correo o mensaje - Si recibes más llamadas sospechosas, cuelga inmediatamente  Tu caso está siendo procesado como **CRÍTICO**. Estamos aquí para protegerte.","El usuario reporta un intento de phishing/estafa activo donde alguien intentó obtener su clave de acceso mediante una llamada telefónica, lo que constituye un incidente de seguridad claro."
CASE-008,MSG-027,AGENT-01,OUTBOUND,Gracias por avisar. Recuerda que nunca pedimos claves por teléfono.,Argentina,No especificado,2026-05-06T04:24:28.856202+00:00,,,,,,,,
CASE-008,MSG-028,USR-112,INBOUND,El tipo sabía mi nombre completo. Tienen una filtración de datos.,Argentina,No especificado,2026-05-06T04:24:28.861974+00:00,SEGURIDAD_FRAUDE,PHISHING_ESTAFA,NEGATIVO,CRITICA,0.95,True,"Entendemos tu preocupación y tomamos esto muy en serio. Por tu seguridad, tu cuenta ha sido bloqueada temporalmente mientras investigamos.   **Acciones inmediatas que debes tomar:** 1. **No compartas** tu clave, OTP o códigos de verificación con nadie 2. **Cambia tu contraseña** desde una conexión segura 3. **Habilita autenticación de dos factores** si no la tienes activada 4. **No hagas clic** en enlaces sospechosos ni descargues archivos desconocidos  Nuestro equipo de seguridad se contactará contigo en las próximas 24 horas por el teléfono registrado en tu perfil para verificar tu identidad y desbloquear tu cuenta de forma segura. Mientras tanto, tu dinero está protegido.   Si recibiste otra llamada sospechosa, por favor reporta el número a nuestra línea de seguridad.","El usuario reporta una llamada fraudulenta solicitando su clave, indicando conocimiento de datos personales, lo que constituye un intento activo de phishing/estafa con riesgo inminente a su cuenta."
CASE-009,MSG-029,USR-881,INBOUND,Me están cobrando 5 USD de mantenimiento y dijeron que era gratis.,Chile,No especificado,2026-05-06T04:24:33.222071+00:00,COBROS_COMISIONES,COMISION_INESPERADA,NEGATIVO,MEDIA,0.92,False,,"El usuario reclama un cobro de 5 USD por mantenimiento que le fue informado como gratuito, lo que corresponde a una comisión inesperada o cobro no autorizado."
CASE-009,MSG-030,AGENT-02,OUTBOUND,"Ese cobro es del banco corresponsal en el extranjero, no de nosotros.",Chile,No especificado,2026-05-06T04:24:34.977540+00:00,,,,,,,,
CASE-009,MSG-031,USR-881,INBOUND,"En la publicidad no dicen eso. Es publicidad engañosa, devuélvanlo.",Chile,No especificado,2026-05-06T04:24:34.983616+00:00,RECLAMO_QUEJA,INCUMPLIMIENTO_PROMESA,NEGATIVO,MEDIA,0.85,False,,"El usuario reclama un cobro de mantenimiento no esperado y acusa publicidad engañosa sobre servicios que se presentaban como gratis, lo que constituye un incumplimiento de promesa comercial según el usuario."
CASE-009,MSG-032,USR-881,INBOUND,"Si no me lo devuelven, cerraré mi cuenta hoy mismo.",Chile,No especificado,2026-05-06T04:24:38.858333+00:00,RECLAMO_QUEJA,INCUMPLIMIENTO_PROMESA,NEGATIVO,ALTA,0.85,False,,"El usuario reclama un cobro no esperado de 5 USD de mantenimiento que considera debería ser gratuito según la publicidad, percibiendo una promesa incumplida y expresando amenaza de cierre de cuenta."
CASE-010,MSG-033,USR-990,INBOUND,"Amo la billetera multimoneda, pero el gráfico de euros no carga.",México,No especificado,2026-05-06T04:24:40.918875+00:00,APP_PLATAFORMA,FUNCION_NO_DISPONIBLE,POSITIVO,MEDIA,0.85,False,,"El usuario reporta un problema técnico con la visualización del gráfico de euros en la billetera multimoneda, aunque expresa satisfacción general con el producto."
CASE-010,MSG-034,AGENT-03,OUTBOUND,¿Podrías intentar cerrar sesión y volver a entrar para refrescar?,México,No especificado,2026-05-06T04:24:42.696632+00:00,,,,,,,,
CASE-010,MSG-035,USR-990,INBOUND,Ya lo hice y sigue igual. Les mando pantallazo del error 502.,México,No especificado,2026-05-06T04:24:42.702749+00:00,APP_PLATAFORMA,ERROR_TECNICO,NEUTRAL,MEDIA,0.95,False,,El usuario reporta un error técnico (error 502) en la carga del gráfico de euros en la billetera multimoneda; problema de plataforma que requiere escalación técnica pero no es crítico.
CASE-011,MSG-036,USR-121,INBOUND,El cajero se tragó mi tarjeta en Bogotá. Estoy en el aeropuerto.,Colombia,No especificado,2026-05-06T04:24:44.770514+00:00,TARJETA,REPOSICION_TARJETA,NEGATIVO,ALTA,0.95,False,,"El usuario reporta que un cajero automático retuvo su tarjeta física en Bogotá mientras se encuentra en el aeropuerto, situación que requiere reposición urgente de tarjeta."
CASE-011,MSG-037,AGENT-01,OUTBOUND,Lamentamos eso. Bloquea la tarjeta desde la app de inmediato.,Colombia,No especificado,2026-05-06T04:24:46.665756+00:00,,,,,,,,
CASE-011,MSG-038,USR-121,INBOUND,"Ya la bloqueé, ¿pero cómo saco plata para mi taxi? No tengo efectivo.",Colombia,No especificado,2026-05-06T04:24:46.669424+00:00,TARJETA,TARJETA_DANADA,NEGATIVO,ALTA,0.95,False,,"El usuario reporta que un cajero automático retuvo su tarjeta física; no hay evidencia de fraude activo, sino un problema operativo urgente con la tarjeta que requiere solución inmediata en contexto de viaje."
CASE-011,MSG-039,USR-121,INBOUND,"Por favor, ¿tienen algún convenio para retiro sin tarjeta?",Colombia,No especificado,2026-05-06T04:24:48.711601+00:00,TARJETA,REPOSICION_TARJETA,NEGATIVO,ALTA,0.95,False,,El usuario reporta que su tarjeta fue retenida por un cajero automático en Bogotá y necesita una solución urgente para acceder a fondos mientras está en el aeropuerto (situación crítica de liquidez).
CASE-012,MSG-040,USR-449,INBOUND,Quiero enviar dinero a Japón. ¿Es posible hacerlo hoy?,Chile,No especificado,2026-05-06T04:24:50.826187+00:00,TRANSFERENCIAS_ENVIOS,RUTA_NO_DISPONIBLE,NEUTRAL,MEDIA,0.75,False,,"El usuario consulta sobre la disponibilidad de envios a Japón desde Chile, lo que podría indicar una ruta no disponible o una consulta informativa sobre transferencias internacionales."
CASE-012,MSG-041,AGENT-02,OUTBOUND,"Sí, pero recuerda que el banco de destino puede demorar 48h hábiles.",Chile,No especificado,2026-05-06T04:24:52.859069+00:00,,,,,,,,
CASE-012,MSG-042,USR-449,INBOUND,"Ah ok, ¿y la comisión es fija o porcentaje del monto?",Chile,No especificado,2026-05-06T04:24:52.861706+00:00,PRODUCTO_INFO,INFO_SERVICIOS,NEUTRAL,BAJA,0.85,False,,"El usuario realiza consultas informativas sobre disponibilidad de ruta, tiempos de entrega y estructura de comisiones para transferencias internacionales a Japón."
CASE-013,MSG-043,USR-552,INBOUND,Mi abuelo falleció y era el titular de la cuenta. ¿Cómo retiro el saldo?,Argentina,No especificado,2026-05-06T04:24:54.679972+00:00,CUENTA_PERFIL,CIERRE_CUENTA,NEGATIVO,MEDIA,0.85,False,,"El usuario consulta sobre cómo acceder al saldo de una cuenta cuyo titular ha fallecido, lo que implica gestiones de cierre de cuenta y herencia, dentro de la categoría CUENTA_PERFIL."
CASE-013,MSG-044,AGENT-04,OUTBOUND,Sentimos tu pérdida. Necesitamos el acta de defunción y poder legal.,Argentina,No especificado,2026-05-06T04:24:56.645817+00:00,,,,,,,,
CASE-013,MSG-045,USR-552,INBOUND,"Tengo el acta, ¿dónde la subo? No encuentro una opción legal en la app.",Argentina,No especificado,2026-05-06T04:24:56.649313+00:00,CUENTA_PERFIL,CUMPLIMIENTO_NORMATIVO,NEGATIVO,ALTA,0.85,False,,"El usuario requiere asistencia para acceder a fondos de una cuenta titular fallecido, lo que implica cumplimiento normativo y gestión de cuenta con documentación legal necesaria."
CASE-013,MSG-046,USR-552,INBOUND,"Es urgente, necesitamos ese dinero para los gastos del funeral.",Argentina,No especificado,2026-05-06T04:24:58.712670+00:00,CUENTA_PERFIL,CIERRE_CUENTA,NEGATIVO,CRITICA,0.92,False,,"El usuario solicita acceso al saldo de una cuenta fallecida, lo cual es un proceso de cierre de cuenta con trámite legal de herencia. La urgencia es crítica debido a gastos funerarios inmediatos y la imposibilidad de encontrar la opción en la app para documentación requerida."
CASE-014,MSG-047,USR-661,INBOUND,Me llegó un cobro duplicado de Netflix en mi estado de cuenta.,Perú,No especificado,2026-05-06T04:25:00.887061+00:00,COBROS_COMISIONES,COBRO_DUPLICADO,NEUTRAL,MEDIA,0.95,False,,
CASE-014,MSG-048,AGENT-01,OUTBOUND,A veces es una retención temporal. Espera 48h para que se reverse.,Perú,No especificado,2026-05-06T04:25:02.173723+00:00,,,,,,,,
CASE-014,MSG-049,USR-661,INBOUND,Ya pasaron 3 días y el cobro sigue ahí. Quiero desconocer la compra.,Perú,No especificado,2026-05-06T04:25:02.176267+00:00,COBROS_COMISIONES,COBRO_DUPLICADO,NEGATIVO,MEDIA,0.95,False,,El usuario reporta un cobro duplicado de Netflix que persiste después de 3 días y solicita desconocer la compra; es un caso claro de COBRO_DUPLICADO sin evidencia de fraude activo.
CASE-015,MSG-050,USR-119,INBOUND,Solicito eliminar mi cuenta y mis datos bajo la ley de transparencia.,Chile,No especificado,2026-05-06T04:25:04.121550+00:00,CUENTA_PERFIL,CIERRE_CUENTA,NEUTRAL,MEDIA,0.95,False,,"El usuario solicita eliminar su cuenta e invoca derechos bajo regulaciones de protección de datos (ley de transparencia), lo que constituye una solicitud de cierre de cuenta con implicaciones de cumplimiento normativo."
CASE-015,MSG-051,AGENT-03,OUTBOUND,"Claro, pero debes tener saldo en cero antes de que procedamos.",Chile,No especificado,2026-05-06T04:25:06.103666+00:00,,,,,,,,
CASE-015,MSG-052,USR-119,INBOUND,Mi saldo es cero. Por favor envíenme el certificado de cierre.,Chile,No especificado,2026-05-06T04:25:06.109277+00:00,CUENTA_PERFIL,CIERRE_CUENTA,NEUTRAL,MEDIA,0.95,False,,"El usuario solicita el cierre de su cuenta y la eliminación de datos personales bajo protecciones normativas (ley de transparencia), acompañado de una demanda de certificado de cierre. Es un caso legítimo de gestión de cuenta con requisitos de cumplimiento normativo."
CASE-015,MSG-053,USR-119,INBOUND,¿Por qué sigo recibiendo correos de marketing si ya pedí el cierre?,Chile,No especificado,2026-05-06T04:25:08.041767+00:00,CUENTA_PERFIL,CIERRE_CUENTA,NEGATIVO,MEDIA,0.92,False,,"El usuario solicita cierre de cuenta bajo derecho de transparencia (LGPD/leyes de protección de datos en Chile), con saldo cero confirmado. El sentimiento es negativo por incumplimiento en la entrega del certificado y persistencia de comunicaciones de marketing post-cierre."
CASE-016,MSG-054,USR-210,INBOUND,Llevo 10 intentos tratando de validar mi selfie y la app se cierra.,México,No especificado,2026-05-06T04:25:10.192953+00:00,APP_PLATAFORMA,ERROR_TECNICO,NEGATIVO,MEDIA,0.85,False,,"El usuario reporta un fallo técnico repetitivo en el proceso de validación de identidad (selfie) donde la aplicación se cierra, afectando su capacidad de completar la verificación KYC."
CASE-016,MSG-055,AGENT-05,OUTBOUND,"Hola, intenta limpiar el caché de la app y asegúrate de tener buena luz.",México,No especificado,2026-05-06T04:25:12.039565+00:00,,,,,,,,
CASE-016,MSG-056,USR-210,INBOUND,"Ya lo hice, borré la app y la reinstalé. Sigue fallando en el 99%.",México,No especificado,2026-05-06T04:25:12.043555+00:00,APP_PLATAFORMA,ERROR_TECNICO,NEGATIVO,ALTA,0.92,False,,"El usuario reporta un fallo técnico persistente en la validación de selfie (KYC) tras múltiples intentos y acciones correctivas, lo que bloquea su acceso a la plataforma con alta frustración."
CASE-016,MSG-057,USR-210,INBOUND,No puedo enviar mi dinero a mi familia por este error técnico. ¡Ayuda!,México,No especificado,2026-05-06T04:25:14.108542+00:00,APP_PLATAFORMA,ERROR_TECNICO,NEGATIVO,ALTA,0.92,False,,"El usuario reporta un fallo técnico persistente en la validación de selfie (KYC) que le impide acceder a su cuenta y realizar transferencias, a pesar de haber seguido pasos de troubleshooting básicos; es un problema de aplicación, no de seguridad activa."
CASE-017,MSG-058,USR-884,INBOUND,Mi empresa necesita pagar nómina a 5 personas en España. ¿Tienen plan business?,Chile,No especificado,2026-05-06T04:25:16.284401+00:00,PRODUCTO_INFO,ALIANZAS_COMERCIALES,NEUTRAL,MEDIA,0.75,False,,"Usuario consulta sobre disponibilidad de planes Business para pagos internacionales de nómina, consulta informativa sobre productos/servicios de Global66."
CASE-017,MSG-059,AGENT-02,OUTBOUND,"Hola, sí tenemos. Necesitamos el RUT de la empresa y representante legal.",Chile,No especificado,2026-05-06T04:25:18.034240+00:00,,,,,,,,
CASE-017,MSG-060,USR-884,INBOUND,"Perfecto, ¿la tasa de cambio es mejor para empresas o es la misma?",Chile,No especificado,2026-05-06T04:25:18.039439+00:00,PRODUCTO_INFO,CUENTA_BUSINESS,POSITIVO,MEDIA,0.92,False,,"El usuario consulta sobre características y beneficios del plan Business de Global66 (tasa de cambio y disponibilidad), mostrando interés comercial legítimo sin indicios de fraude."
CASE-018,MSG-061,USR-337,INBOUND,URGENTE: Perdí mi celular en un taxi y no alcancé a cerrar la sesión.,Perú,No especificado,2026-05-06T04:25:20.151896+00:00,SEGURIDAD_FRAUDE,ROBO_DISPOSITIVO,NEGATIVO,CRITICA,0.95,True,,"El usuario reporta la pérdida de su dispositivo móvil con sesión activa, lo cual constituye un riesgo inmediato de acceso no autorizado a su cuenta de finanzas."
CASE-018,MSG-062,AGENT-01,OUTBOUND,Entendido. Vamos a desvincular todos tus dispositivos ahora mismo.,Perú,No especificado,2026-05-06T04:25:25.040284+00:00,,,,,,,,
CASE-018,MSG-063,USR-337,INBOUND,"Gracias. También bloqueen mi tarjeta física por si acaso, iba en el protector.",Perú,No especificado,2026-05-06T04:25:25.044326+00:00,SEGURIDAD_FRAUDE,ROBO_DISPOSITIVO,NEGATIVO,CRITICA,0.95,False,,"El usuario reporta pérdida de dispositivo (celular) con sesión activa y tarjeta física potencialmente comprometida, requiriendo bloqueo inmediato de acceso y tarjeta. No hay evidencia de fraude activo consumado, pero sí de riesgo inminente que requiere medidas preventivas urgentes."
CASE-018,MSG-064,USR-337,INBOUND,Acabo de ver un correo de 'inicio de sesión exitoso'. ¡Apúrense!,Perú,No especificado,2026-05-06T04:25:29.228937+00:00,SEGURIDAD_FRAUDE,ROBO_DISPOSITIVO,NEGATIVO,CRITICA,0.98,True,,"Usuario reporta pérdida de celular con sesión activa y tarjeta física, confirmado por acceso no autorizado (correo de ""inicio de sesión exitoso"") que indica tercero ha accedido a la cuenta."
CASE-019,MSG-065,USR-114,INBOUND,The app language is stuck in Portuguese and I am in Colombia. Help!,Colombia,No especificado,2026-05-06T04:25:34.358827+00:00,APP_PLATAFORMA,IDIOMA_TRADUCCION,NEGATIVO,MEDIA,0.95,False,,"El usuario reporta que la aplicación está en portugués cuando debería estar en español (Colombia), lo que es un problema de idioma/traducción en la plataforma."
CASE-019,MSG-066,AGENT-03,OUTBOUND,Go to Settings > Profile > Language to change it back.,Colombia,No especificado,2026-05-06T04:25:36.203436+00:00,,,,,,,,
CASE-019,MSG-067,USR-114,INBOUND,"The settings menu is also in Portuguese, I can't find the 'Profile' button.",Colombia,No especificado,2026-05-06T04:25:36.209487+00:00,APP_PLATAFORMA,IDIOMA_TRADUCCION,NEGATIVO,MEDIA,0.95,False,,"El usuario está experimentando un problema técnico donde la interfaz de la app está bloqueada en portugués y no puede acceder al menú de configuración para cambiar el idioma, lo que impide usar la aplicación en su idioma local (Colombia)."
CASE-020,MSG-068,USR-665,INBOUND,Quiero denunciar una página de Instagram que usa su logo para estafar.,Argentina,No especificado,2026-05-06T04:25:38.069251+00:00,SEGURIDAD_FRAUDE,PHISHING_ESTAFA,NEGATIVO,ALTA,0.85,False,,"El usuario reporta un intento de phishing/estafa usando el logo de Global66 en Instagram, pero no hay evidencia de que su propia cuenta haya sido comprometida o que sea víctima de un fraude activo en su cuenta."
CASE-020,MSG-069,AGENT-01,OUTBOUND,Gracias por reportarlo. ¿Podrías enviarnos el link del perfil?,Argentina,No especificado,2026-05-06T04:25:40.557995+00:00,,,,,,,,
CASE-020,MSG-070,USR-665,INBOUND,Es este: @Global66_PremiosOficial. Me pidieron mi clave para un bono.,Argentina,No especificado,2026-05-06T04:25:40.560596+00:00,SEGURIDAD_FRAUDE,PHISHING_ESTAFA,NEGATIVO,ALTA,0.95,True,"¡Gracias por reportar esto! Es muy importante que hayas detectado este fraude. Te recomendamos inmediatamente: 1) NO compartas tu contraseña con nadie ni en ningún sitio, especialmente en redes sociales; 2) Si ya ingresaste tus datos, cambia tu contraseña en Global66 ahora mismo; 3) No hagas clic en links de perfiles sospechosos ni descargues archivos de ellos. Nuestro equipo de seguridad investigará y reportará este perfil falso a Instagram. Te contactaremos en breve si necesitamos más información. Tu cuenta está protegida por nuestro equipo de seguridad.","El usuario reporta un perfil fraudulento en Instagram que suplanta la identidad de Global66 y solicita credenciales para acceder a bonos falsos, indicando una campaña de phishing activa contra usuarios de la plataforma."
